package0,package1,package2,package3,package4,algorithm0,algorithm1,algorithm2,algorithm3,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.000165
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00750051419304
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0004191875
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00738625
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0274088395833
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.036679125
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00052375
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0062517940572
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.000550625
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4039,88234,1,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.03125
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,2,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00441566464803
