dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-email-Enron-2.csv,Galois,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.01046875
parsed-email-Enron-2.csv,GAP,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.00613375
parsed-email-Enron-2.csv,GraphBIG,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,3.21E-05
parsed-email-Enron-2.csv,GraphMat,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.002122281
parsed-email-Enron-2.csv,PowerGraph,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.00625
parsed-facebook_combined-1.csv,Galois,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0081875
parsed-facebook_combined-1.csv,GAP,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0004775
parsed-facebook_combined-1.csv,GraphBIG,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,4.69E-07
parsed-facebook_combined-1.csv,GraphMat,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000560906
parsed-facebook_combined-1.csv,PowerGraph,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.09375
parsed-facebook_combined-2.csv,GraphBIG,SSSP,4039,88234,2,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004153514
parsed-facebook_combined-4.csv,GAP,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.002128125
parsed-facebook_combined-4.csv,GraphBIG,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004151681
parsed-facebook_combined-4.csv,GraphMat,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000495188
parsed-facebook_combined-4.csv,PowerGraph,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0375
parsed-facebook_combined-8.csv,GAP,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.003196875
parsed-facebook_combined-8.csv,GraphBIG,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00429238
parsed-facebook_combined-8.csv,GraphMat,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000551
parsed-facebook_combined-8.csv,PowerGraph,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0625
parsed-facebook_combined-16.csv,GAP,SSSP,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.005983125
parsed-facebook_combined-16.csv,GraphBIG,SSSP,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004103586
parsed-facebook_combined-16.csv,GraphMat,SSSP,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000601688
parsed-facebook_combined-16.csv,PowerGraph,SSSP,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0875
