package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
Galois,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.01046875
GAP,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.00613375
GraphBIG,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,3.21E-05
GraphMat,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.002122281
PowerGraph,SSSP,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.00625
Galois,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0081875
GAP,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0004775
GraphBIG,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,4.69E-07
GraphMat,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000560906
PowerGraph,SSSP,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.09375
GraphBIG,SSSP,4039,88234,2,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004153514
GAP,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.002128125
GraphBIG,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004151681
GraphMat,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000495188
PowerGraph,SSSP,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0375
GAP,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.003196875
GraphBIG,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00429238
GraphMat,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000551
PowerGraph,SSSP,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0625
GAP,SSSP,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.005983125
