package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
Galois,BFS,36692,183831,2,33696,180811,33696,180811,0.497,727044,0.03015,11,4.8,0.0141875
GAP,BFS,36692,183831,2,33696,180811,33696,180811,0.497,727044,0.03015,11,4.8,0.000619063
GraphBIG,BFS,36692,183831,2,33696,180811,33696,180811,0.497,727044,0.03015,11,4.8,7.93E-06
GraphMat,BFS,36692,183831,2,33696,180811,33696,180811,0.497,727044,0.03015,11,4.8,0.001913344
Galois,BFS,4039,88234,1,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.007375
GAP,BFS,4039,88234,1,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.000129063
GraphBIG,BFS,4039,88234,1,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,4.69E-07
GraphMat,BFS,4039,88234,1,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.000424406
GraphBIG,BFS,4039,88234,2,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004415665
GAP,BFS,4039,88234,4,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.0002625
GraphBIG,BFS,4039,88234,4,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004162144
GraphMat,BFS,4039,88234,4,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.000424875
GAP,BFS,4039,88234,8,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.000315625
GraphBIG,BFS,4039,88234,8,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004405814
GraphMat,BFS,4039,88234,8,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.000463313
GAP,BFS,4039,88234,16,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.00049
GraphBIG,BFS,4039,88234,16,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004210889
GraphMat,BFS,4039,88234,16,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.00055775
GAP,BFS,4039,88234,24,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.00068375
GraphBIG,BFS,4039,88234,24,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004169415
GraphMat,BFS,4039,88234,24,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.000724125
GAP,BFS,4039,88234,32,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.0014925
GraphBIG,BFS,4039,88234,32,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004564564
GraphMat,BFS,4039,88234,32,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.014748938
GAP,BFS,4039,88234,40,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.00181
GraphBIG,BFS,4039,88234,40,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004678713
GraphMat,BFS,4039,88234,40,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.001558375
GAP,BFS,4039,88234,48,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.002131875
GraphBIG,BFS,4039,88234,48,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004508914
GraphMat,BFS,4039,88234,48,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.0039175
GAP,BFS,4039,88234,56,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.00253875
GraphBIG,BFS,4039,88234,56,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004617808
GraphMat,BFS,4039,88234,56,4039,88234,4039,88234,0.6055,1612010,0.2647,8,4.7,0.004629875
GAP,BFS,3774768,16518948,1,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.303444375
GraphBIG,BFS,3774768,16518948,1,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,5.51E-07
GraphMat,BFS,3774768,16518948,1,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.943189
GAP,BFS,3774768,16518948,2,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.18048375
GraphBIG,BFS,3774768,16518948,2,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,1.62E-05
GraphMat,BFS,3774768,16518948,2,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.690440688
GAP,BFS,3774768,16518948,4,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.0956
GraphBIG,BFS,3774768,16518948,4,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,2.29E-05
GraphMat,BFS,3774768,16518948,4,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.45378425
GAP,BFS,3774768,16518948,8,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.052659375
GraphBIG,BFS,3774768,16518948,8,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.000029251
