package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.04826
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.2828
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.46323462
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.6125
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.06234
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.45136
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.09408
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.8376
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.09865
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.42308
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,15.18774
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,118.0414
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.13128077
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.8427
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.05386
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,136.382
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.34538077
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.10146
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.10522
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.45738571
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.06277
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.5378
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.29868846
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.6841
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.06904
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.5126
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.70863846
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.46224
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.03916
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,124.9638
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.28420385
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.2418
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.35625
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.3698
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.36535769
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.95112
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,15.185
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.2776
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.36356538
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.4426
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.1097
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,125.5382
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.87699615
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.00508
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.04696
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.3574
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.38454615
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.1443
GAP,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,14.06989
GraphBIG,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,116.6738
GraphMat,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,42.5647381
