Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
5,parsed-email-Enron-2.csv,Galois,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044.0,0.03015,11.0,4.8,0.05134375
6,parsed-email-Enron-2.csv,GAP,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044.0,0.03015,11.0,4.8,0.023257188
7,parsed-email-Enron-2.csv,GraphBIG,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044.0,0.03015,11.0,4.8,0.177734469
8,parsed-email-Enron-2.csv,GraphMat,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044.0,0.03015,11.0,4.8,0.114122781
9,parsed-email-Enron-2.csv,PowerGraph,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044.0,0.03015,11.0,4.8,1.85625
19,parsed-facebook_combined-1.csv,Galois,PageRank,4039,88234,1,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.01371875
20,parsed-facebook_combined-1.csv,GAP,PageRank,4039,88234,1,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.007743125
21,parsed-facebook_combined-1.csv,GraphBIG,PageRank,4039,88234,1,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.028276519
22,parsed-facebook_combined-1.csv,GraphMat,PageRank,4039,88234,1,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.036855719
23,parsed-facebook_combined-1.csv,PowerGraph,PageRank,4039,88234,1,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.090625
30,parsed-facebook_combined-2.csv,GraphBIG,PageRank,4039,88234,2,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.023774872
35,parsed-facebook_combined-4.csv,GAP,PageRank,4039,88234,4,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.0040325
36,parsed-facebook_combined-4.csv,GraphBIG,PageRank,4039,88234,4,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.030663006
37,parsed-facebook_combined-4.csv,GraphMat,PageRank,4039,88234,4,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.02149825
38,parsed-facebook_combined-4.csv,PowerGraph,PageRank,4039,88234,4,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.0875
46,parsed-facebook_combined-8.csv,GAP,PageRank,4039,88234,8,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.00472625
47,parsed-facebook_combined-8.csv,GraphBIG,PageRank,4039,88234,8,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.036593188
48,parsed-facebook_combined-8.csv,GraphMat,PageRank,4039,88234,8,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.014623625
49,parsed-facebook_combined-8.csv,PowerGraph,PageRank,4039,88234,8,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.1
57,parsed-facebook_combined-16.csv,GAP,PageRank,4039,88234,16,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.005894375
